id_factura,fecha,id_cliente,total
1,"2024-11-01 10:00:00",1,150.00
2,"2024-11-01 11:00:00",2,75.00
3,"2024-11-01 10:10:00",4,150.00
4,"2024-11-01 10:20:00",5,75.00
5,"2024-11-01 10:30:00",6,200.00
6,"2024-11-01 10:40:00",7,50.00
7,"2024-11-01 10:50:00",8,25.00
8,"2024-11-01 11:10:00",9,150.00
9,"2024-11-01 11:20:00",10,100.00
10,"2024-11-01 11:30:00",11,300.00
11,"2024-11-01 11:40:00",12,75.00
12,"2024-11-01 11:50:00",13,150.00
13,"2024-11-01 12:10:00",14,200.00
14,"2024-11-01 12:20:00",15,50.00
15,"2024-11-01 12:30:00",16,25.00
16,"2024-11-01 12:40:00",17,150.00
17,"2024-11-01 12:50:00",18,75.00
18,"2024-11-01 13:10:00",19,100.00
19,"2024-11-01 13:20:00",20,200.00
20,"2024-11-01 13:30:00",21,50.00
21,"2024-11-01 13:40:00",22,25.00
22,"2024-11-01 13:50:00",23,150.00
23,"2024-11-01 14:10:00",24,300.00
24,"2024-11-01 14:20:00",25,75.00
25,"2024-11-01 14:30:00",26,150.00
26,"2024-11-01 14:40:00",27,100.00
27,"2024-11-01 14:50:00",28,200.00
28,"2024-11-01 15:10:00",29,50.00
29,"2024-11-01 15:20:00",30,25.00
30,"2024-11-01 15:30:00",31,150.00
31,"2024-11-01 15:40:00",32,75.00
32,"2024-11-01 15:50:00",33,100.00
33,"2024-11-01 16:10:00",34,200.00
34,"2024-11-01 16:20:00",35,50.00
35,"2024-11-01 16:30:00",36,25.00
36,"2024-11-01 16:40:00",37,150.00
37,"2024-11-01 16:50:00",38,75.00
38,"2024-11-01 17:10:00",39,100.00
39,"2024-11-01 17:20:00",40,200.00
40,"2024-11-01 17:30:00",41,50.00
41,"2024-11-01 17:40:00",42,25.00
42,"2024-11-01 17:50:00",43,150.00
43,"2024-11-01 18:10:00",44,75.00
44,"2024-11-01 18:20:00",45,100.00
45,"2024-11-01 18:30:00",46,200.00
46,"2024-11-01 18:40:00",47,50.00
47,"2024-11-01 18:50:00",48,25.00
48,"2024-11-01 19:10:00",49,150.00
49,"2024-11-01 19:20:00",50,75.00
